State,University,Year_Range,Completion_Rate
New South Wales,University of Technology Sydney,2012-2020,84.9
New South Wales,University of Wollongong,2012-2020,78.5
New South Wales,Western Sydney University,2012-2020,66.3
Victoria,Deakin University,2012-2020,72.1
Victoria,Federation University Australia(a),2012-2020,57.6
Victoria,La Trobe University,2012-2020,75.4
Victoria,Monash University,2012-2020,86.1
Victoria,RMIT University,2012-2020,79.2
Victoria,Swinburne University of Technology,2012-2020,54.3
Victoria,The University of Melbourne,2012-2020,92
Victoria,Victoria University,2012-2020,62.9
Queensland,CQUniversity,2012-2020,52.9
Queensland,Griffith University,2012-2020,70.1
Queensland,James Cook University,2012-2020,63.3
Queensland,Queensland University of Technology,2012-2020,75.3
Queensland,The University of Queensland,2012-2020,81.1
Queensland,University of Southern Queensland,2012-2020,50.5
Queensland,University of the Sunshine Coast,2012-2020,62.3
Western Australia,Curtin University,2012-2020,69.1
Western Australia,Edith Cowan University,2012-2020,60.4
Western Australia,Murdoch University,2012-2020,58.7
Western Australia,The University of Western Australia,2012-2020,85.2
South Australia,Flinders University,2012-2020,67
South Australia,The University of Adelaide,2012-2020,73.1
South Australia,University of South Australia,2012-2020,69.5
Tasmania,University of Tasmania,2012-2020,68.2
Northern Territory,Batchelor Institute of Indigenous Tertiary Education(b),2012-2020,0
Northern Territory,Charles Darwin University,2012-2020,51.1
Australian Capital Territory,The Australian National University,2012-2020,85.4
Australian Capital Territory,University of Canberra,2012-2020,62.2
Multi-State,Australian Catholic University,2012-2020,72.5
New South Wales,Charles Sturt University,2013-2021,59.8
New South Wales,Macquarie University,2013-2021,76
New South Wales,Southern Cross University,2013-2021,57.3
New South Wales,The University of New England,2013-2021,54.7
New South Wales,The University of Newcastle,2013-2021,69.3
New South Wales,The University of Sydney,2013-2021,83.1
New South Wales,University of New South Wales,2013-2021,86.9
New South Wales,University of Technology Sydney,2013-2021,83.1
New South Wales,University of Wollongong,2013-2021,77.6
New South Wales,Western Sydney University,2013-2021,66.2
Victoria,Deakin University,2013-2021,69.7
Victoria,Federation University Australia(a),2013-2021,60.8
Victoria,La Trobe University,2013-2021,75.4
Victoria,Monash University,2013-2021,86.1
Victoria,RMIT University,2013-2021,79.7
Victoria,Swinburne University of Technology,2013-2021,48.5
Victoria,The University of Melbourne,2013-2021,93
Victoria,Victoria University,2013-2021,61.8
Queensland,CQUniversity,2013-2021,54.1
Queensland,Griffith University,2013-2021,68.2
Queensland,James Cook University,2013-2021,64.6
Queensland,Queensland University of Technology,2013-2021,74.9
Queensland,The University of Queensland,2013-2021,80.9
Queensland,University of Southern Queensland,2013-2021,51.3
Queensland,University of the Sunshine Coast,2013-2021,61.3
Western Australia,Curtin University,2013-2021,68.9
Western Australia,Edith Cowan University,2013-2021,57.9
Western Australia,Murdoch University,2013-2021,58
Western Australia,The University of Western Australia,2013-2021,84.1
South Australia,Flinders University,2013-2021,66.3
South Australia,The University of Adelaide,2013-2021,75.5
South Australia,University of South Australia,2013-2021,69.6
Tasmania,University of Tasmania,2013-2021,56.9
Northern Territory,Batchelor Institute of Indigenous Tertiary Education(b),2013-2021,0
Northern Territory,Charles Darwin University,2013-2021,48.6
Australian Capital Territory,The Australian National University,2013-2021,85
Australian Capital Territory,University of Canberra,2013-2021,63.7
Multi-State,Australian Catholic University,2013-2021,72.1
New South Wales,Charles Sturt University,2014-2022,56.6
New South Wales,Macquarie University,2014-2022,74.5
New South Wales,Southern Cross University,2014-2022,55.9
New South Wales,The University of New England,2014-2022,56.6
New South Wales,The University of Newcastle,2014-2022,70.7
New South Wales,The University of Sydney,2014-2022,84.3
New South Wales,University of New South Wales,2014-2022,88.2
New South Wales,University of Technology Sydney,2014-2022,82.9
New South Wales,University of Wollongong,2014-2022,75.9
New South Wales,Western Sydney University,2014-2022,64.9
Victoria,Deakin University,2014-2022,67.2
Victoria,Federation University Australia(a),2014-2022,58.1
Victoria,La Trobe University,2014-2022,75
Victoria,Monash University,2014-2022,87.4
Victoria,RMIT University,2014-2022,79
Victoria,Swinburne University of Technology,2014-2022,50.9
Victoria,The University of Melbourne,2014-2022,92.5
Victoria,Victoria University,2014-2022,61.3
Queensland,CQUniversity,2014-2022,54
Queensland,Griffith University,2014-2022,66.6
Queensland,James Cook University,2014-2022,62.8
Queensland,Queensland University of Technology,2014-2022,75.5
Queensland,The University of Queensland,2014-2022,79.7
Queensland,University of Southern Queensland,2014-2022,54.2
Queensland,University of the Sunshine Coast,2014-2022,61.7
Western Australia,Curtin University,2014-2022,68.7
Western Australia,Edith Cowan University,2014-2022,58
Western Australia,Murdoch University,2014-2022,59.9
Western Australia,The University of Western Australia,2014-2022,84.5
South Australia,Flinders University,2014-2022,66
South Australia,The University of Adelaide,2014-2022,74.9
South Australia,University of South Australia,2014-2022,68.4
Tasmania,University of Tasmania,2014-2022,51.8
Northern Territory,Batchelor Institute of Indigenous Tertiary Education(b),2014-2022,0
Northern Territory,Charles Darwin University,2014-2022,49.3
Australian Capital Territory,The Australian National University,2014-2022,82.6
Australian Capital Territory,University of Canberra,2014-2022,62.5
Multi-State,Australian Catholic University,2014-2022,69.8
New South Wales,Charles Sturt University,2015-2023,57.1
New South Wales,Macquarie University,2015-2023,75
New South Wales,Southern Cross University,2015-2023,56.6
New South Wales,The University of New England,2015-2023,53
New South Wales,The University of Newcastle,2015-2023,69.6
New South Wales,The University of Sydney,2015-2023,83.9
New South Wales,University of New South Wales,2015-2023,89.7
New South Wales,University of Technology Sydney,2015-2023,82.3
New South Wales,University of Wollongong,2015-2023,75.2
New South Wales,Western Sydney University,2015-2023,64.7
Victoria,Deakin University,2015-2023,68.4
Victoria,Federation University Australia(a),2015-2023,58.7
Victoria,La Trobe University,2015-2023,73.1
Victoria,Monash University,2015-2023,88
Victoria,RMIT University,2015-2023,80.2
Victoria,Swinburne University of Technology,2015-2023,52
Victoria,The University of Melbourne,2015-2023,91.7
Victoria,Victoria University,2015-2023,63.1
Queensland,CQUniversity,2015-2023,56.1
Queensland,Griffith University,2015-2023,65.9
Queensland,James Cook University,2015-2023,62.9
Queensland,Queensland University of Technology,2015-2023,76.5
Queensland,The University of Queensland,2015-2023,80.3
Queensland,University of Southern Queensland,2015-2023,50.4
Queensland,University of the Sunshine Coast,2015-2023,59.9
Western Australia,Curtin University,2015-2023,65.1
Western Australia,Edith Cowan University,2015-2023,55.2
Western Australia,Murdoch University,2015-2023,59.9
Western Australia,The University of Western Australia,2015-2023,82.2
South Australia,Flinders University,2015-2023,65.4
South Australia,The University of Adelaide,2015-2023,75.6
South Australia,University of South Australia,2015-2023,69.2
Tasmania,University of Tasmania,2015-2023,56.8
Northern Territory,Batchelor Institute of Indigenous Tertiary Education(b),2015-2023,0
Northern Territory,Charles Darwin University,2015-2023,51.4
Australian Capital Territory,The Australian National University,2015-2023,85.6
Australian Capital Territory,University of Canberra,2015-2023,61.7
Multi-State,Australian Catholic University,2015-2023,72.1
